N, total_classification_errors, learning_rate, number of iterations for convergence, R0, margin0, k_max
450, 0, 0.005, 124, 0.676, 0.0004678131, 2090578
450, 0, 0.5, 497, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 428, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 405, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 477, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 399, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 443, 0.686, 0.0004852910, 2000672
450, 0, 0.5, 391, 0.686, 0.0004852910, 2000672
350, 0, 0.01, 49, 0.688, 0.0009767646, 495877
350, 0, 0.01, 728, 0.696, 0.0029559510, 55476
250, 0, 0.001, 3104, 0.660, 0.0027929869, 55856
150, 0, 0.05, 85, 0.689, 0.0001786656, 14866510
50, 0, 0.1, 40, 0.612, 0.0085654587, 5098
